** CONVERTED FROM demo00.EDF using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Thu Jul 20 11:54:04 2023
** DATE: Thu Jul 20 10:42:47 2023
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.31 Nov 25 2008
** CAMERA: EyeLink CL Version 1.4 Sensor=BJF
** SERIAL NUMBER: CL1-92827
** CAMERA_CONFIG: 92827140.SCD
** RECORDED BY mlcm_experiment_with_eyetracker.py
**

MSG	427082 DISPLAY_COORDS  0 0 1919 1079
INPUT	431643	120
INPUT	453379	120
MSG	455733 TRIALID 0
INPUT	455792	120
INPUT	462314	120
MSG	462354 RECCFG CR 1000 1 1 R
MSG	462354 ELCLCFG BTABLER
MSG	462354 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	462354 THRESHOLDS R 97 242
MSG	462354 ELCL_PROC ELLIPSE  (5)
MSG	462354 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	462355 !MODE RECORD CR 1000 1 1 R
START	462356 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	462356	120
462356	  983.7	  552.8	 1735.0	...
462357	  985.2	  553.1	 1729.0	...
462358	  985.1	  553.1	 1729.0	...
462359	  985.1	  550.7	 1732.0	...
462360	  985.3	  550.7	 1733.0	...
462361	  984.2	  550.7	 1733.0	...
SFIX R   462362
462362	  983.2	  550.7	 1733.0	...
462363	  983.2	  550.7	 1725.0	...
462364	  982.6	  550.7	 1725.0	...
462365	  982.6	  549.0	 1725.0	...
462366	  983.3	  548.9	 1725.0	...
462367	  983.4	  553.2	 1722.0	...
462368	  983.4	  552.4	 1722.0	...
462369	  984.6	  551.4	 1721.0	...
462370	  984.6	  551.4	 1721.0	...
462371	  983.4	  550.4	 1727.0	...
462372	  983.4	  550.4	 1726.0	...
462373	  982.0	  550.6	 1726.0	...
462374	  982.0	  550.7	 1726.0	...
462375	  980.9	  553.4	 1723.0	...
462376	  980.9	  553.4	 1723.0	...
462377	  985.3	  555.5	 1723.0	...
462378	  985.3	  555.5	 1723.0	...
462379	  986.3	  554.2	 1724.0	...
462380	  986.3	  553.0	 1724.0	...
462381	  986.7	  550.0	 1726.0	...
462382	  987.1	  551.3	 1726.0	...
462383	  987.1	  552.7	 1726.0	...
462384	  983.6	  552.3	 1725.0	...
462385	  983.6	  552.3	 1724.0	...
462386	  982.7	  552.1	 1724.0	...
462387	  982.7	  551.9	 1729.0	...
462388	  983.6	  551.3	 1729.0	...
462389	  984.4	  551.2	 1728.0	...
462390	  985.9	  551.2	 1728.0	...
462391	  985.9	  550.2	 1729.0	...
462392	  985.3	  550.2	 1729.0	...
462393	  982.3	  550.5	 1727.0	...
462394	  982.3	  550.7	 1725.0	...
