** CONVERTED FROM demo01_2023_01_20_19_48.EDF using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Mon Jan 23 11:00:12 2023
** DATE: Fri Jan 20 19:48:05 2023
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.31 Nov 25 2008
** CAMERA: EyeLink CL Version 1.4 Sensor=BJF
** SERIAL NUMBER: CL1-92827
** CAMERA_CONFIG: 92827140.SCD
** RECORDED BY mlcm_experiment_with_eyetracker.py
**

MSG	603622 DISPLAY_COORDS  0 0 1919 1079
INPUT	617388	120
INPUT	632926	120
INPUT	669473	120
INPUT	683047	120
INPUT	699691	120
MSG	699949 TRIALID 0
INPUT	700006	120
INPUT	704667	120
MSG	704706 RECCFG CR 1000 1 1 L
MSG	704706 ELCLCFG BTABLER
MSG	704706 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	704706 THRESHOLDS L 96 244
MSG	704706 ELCL_PROC ELLIPSE  (5)
MSG	704706 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	704707 !MODE RECORD CR 1000 1 1 L
START	704708 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	704708	120
704708	  978.6	  496.6	 3497.0	...
704709	  979.0	  496.6	 3498.0	...
704710	  978.6	  496.0	 3498.0	...
704711	  978.6	  495.4	 3497.0	...
704712	  980.5	  493.3	 3496.0	...
704713	  980.5	  493.3	 3496.0	...
SFIX L   704714
704714	  978.7	  491.9	 3496.0	...
704715	  978.7	  491.9	 3496.0	...
704716	  978.9	  492.5	 3496.0	...
704717	  978.9	  493.2	 3501.0	...
704718	  978.9	  495.4	 3501.0	...
704719	  979.2	  495.4	 3502.0	...
704720	  979.4	  495.4	 3503.0	...
704721	  978.7	  495.1	 3503.0	...
704722	  978.1	  495.0	 3502.0	...
704723	  978.1	  496.8	 3502.0	...
704724	  977.3	  496.7	 3503.0	...
704725	  977.2	  490.2	 3503.0	...
704726	  977.9	  490.2	 3501.0	...
704727	  978.7	  494.1	 3503.0	...
704728	  980.6	  494.0	 3503.0	...
704729	  980.6	  493.8	 3499.0	...
704730	  980.3	  493.8	 3499.0	...
704731	  980.3	  493.0	 3502.0	...
704732	  982.0	  493.5	 3502.0	...
704733	  982.0	  493.9	 3507.0	...
704734	  981.2	  495.0	 3507.0	...
704735	  980.3	  494.2	 3499.0	...
704736	  980.3	  494.3	 3499.0	...
704737	  980.3	  494.3	 3499.0	...
704738	  980.3	  494.3	 3498.0	...
704739	  979.4	  494.6	 3498.0	...
704740	  979.4	  494.8	 3499.0	...
704741	  978.8	  494.8	 3499.0	...
704742	  978.8	  494.3	 3508.0	...
704743	  979.2	  494.4	 3508.0	...
704744	  979.7	  496.9	 3508.0	...
