IntensityIn IntensityOut Luminance
0.000000000000000000e+00 0.000000000000000000e+00 4.333333333333334002e-03
2.442002442002442000e-04 5.475880052149999927e-02 1.366666666666666863e-01
4.884004884004884001e-04 6.779661016950000452e-02 2.553333333333333566e-01
7.326007326007326001e-04 7.822685788790000039e-02 3.916666666666666630e-01
9.768009768009768001e-04 8.474576271189999954e-02 5.063333333333334130e-01
1.221001221001221000e-03 9.126466753589999870e-02 6.453333333333333144e-01
1.465201465201465200e-03 9.647979139500000023e-02 7.653333333333333099e-01
1.709401709401709400e-03 1.016949152539999984e-01 9.106666666666667354e-01
1.953601953601953600e-03 1.056062581490000013e-01 1.015333333333333199e+00
2.197802197802197800e-03 1.095176010429999985e-01 1.141000000000000014e+00
2.442002442002442000e-03 1.134289439369999958e-01 1.281333333333333213e+00
2.686202686202686200e-03 1.160365058669999977e-01 1.378333333333333188e+00
2.930402930402930400e-03 1.199478487609999949e-01 1.516000000000000014e+00
3.174603174603174600e-03 1.225554106909999968e-01 1.633333333333333526e+00
3.418803418803418800e-03 1.251629726210000126e-01 1.739666666666666694e+00
3.663003663003663000e-03 1.290743155150000099e-01 1.917999999999999927e+00
3.907203907203907201e-03 1.316818774450000118e-01 2.046666666666666412e+00
4.151404151404151401e-03 1.342894393740000081e-01 2.169666666666666632e+00
4.395604395604395601e-03 1.368970013040000100e-01 2.298000000000000043e+00
4.639804639804639801e-03 1.382007822690000109e-01 2.375999999999999890e+00
4.884004884004884001e-03 1.408083441980000072e-01 2.508000000000000451e+00
5.128205128205128201e-03 1.434159061280000091e-01 2.657333333333333325e+00
5.372405372405372401e-03 1.447196870930000101e-01 2.740666666666666362e+00
5.616605616605616601e-03 1.473272490220000064e-01 2.892666666666666941e+00
5.860805860805860801e-03 1.499348109520000083e-01 3.040666666666666629e+00
6.105006105006105001e-03 1.512385919170000093e-01 3.126333333333333631e+00
6.349206349206349201e-03 1.538461538460000055e-01 3.287666666666666515e+00
6.593406593406593401e-03 1.551499348110000065e-01 3.374000000000000110e+00
6.837606837606837601e-03 1.577574967410000084e-01 3.547666666666666746e+00
7.081807081807081801e-03 1.590612777050000037e-01 3.619666666666666810e+00
7.326007326007326001e-03 1.603650586700000047e-01 3.730666666666666575e+00
7.570207570207570201e-03 1.629726206000000066e-01 3.912666666666666515e+00
7.814407814407814401e-03 1.642764015650000076e-01 4.006666666666666821e+00
8.058608058608057734e-03 1.655801825290000029e-01 4.094666666666667787e+00
8.302808302808302801e-03 1.681877444590000048e-01 4.284333333333333549e+00
8.547008547008547868e-03 1.694915254240000058e-01 4.392999999999999794e+00
8.791208791208791201e-03 1.707953063890000067e-01 4.502666666666667261e+00
9.035409035409034534e-03 1.720990873530000020e-01 4.599333333333333940e+00
9.279609279609279601e-03 1.747066492830000040e-01 4.788999999999999702e+00
9.523809523809524669e-03 1.760104302480000049e-01 4.928333333333333677e+00
9.768009768009768001e-03 1.773142112130000059e-01 5.025333333333333208e+00
1.001221001221001133e-02 1.786179921770000012e-01 5.145999999999999908e+00
1.025641025641025640e-02 1.799217731420000022e-01 5.235666666666666913e+00
1.050061050061050147e-02 1.812255541070000031e-01 5.344333333333332270e+00
1.074481074481074480e-02 1.825293350720000041e-01 5.475333333333334274e+00
1.098901098901098813e-02 1.838331160370000050e-01 5.584333333333333371e+00
1.123321123321123320e-02 1.864406779660000013e-01 5.810666666666666202e+00
1.147741147741147827e-02 1.877444589310000023e-01 5.939000000000000057e+00
1.172161172161172160e-02 1.890482398960000032e-01 6.057333333333333236e+00
1.196581196581196493e-02 1.903520208599999985e-01 6.181333333333333790e+00
1.221001221001221000e-02 1.916558018249999995e-01 6.304999999999999716e+00
1.245421245421245507e-02 1.929595827900000005e-01 6.430333333333333456e+00
1.269841269841269840e-02 1.942633637550000014e-01 6.553999999999999382e+00
1.294261294261294173e-02 1.955671447200000024e-01 6.665666666666666629e+00
1.318681318681318680e-02 1.968709256839999977e-01 6.805333333333333456e+00
1.343101343101343187e-02 1.981747066489999987e-01 6.945666666666666877e+00
1.391941391941391853e-02 1.994784876139999996e-01 7.084999999999999964e+00
1.416361416361416360e-02 2.007822685790000006e-01 7.206666666666666998e+00
1.440781440781440867e-02 2.020860495440000015e-01 7.344000000000000306e+00
1.465201465201465200e-02 2.033898305079999969e-01 7.496333333333333293e+00
1.489621489621489533e-02 2.046936114729999978e-01 7.628666666666666707e+00
1.514041514041514040e-02 2.059973924379999988e-01 7.772999999999999687e+00
1.538461538461538547e-02 2.073011734029999997e-01 7.900666666666666060e+00
1.562881562881562880e-02 2.086049543680000007e-01 8.021666666666666501e+00
1.587301587301587213e-02 2.099087353319999960e-01 8.170333333333333670e+00
1.611721611721611547e-02 2.112125162969999970e-01 8.339000000000000412e+00
1.660561660561660560e-02 2.125162972619999979e-01 8.468000000000001748e+00
1.684981684981684893e-02 2.138200782269999989e-01 8.624000000000000554e+00
1.709401709401709574e-02 2.151238591919999998e-01 8.775000000000000355e+00
1.733821733821733907e-02 2.164276401559999952e-01 8.946666666666667211e+00
1.782661782661782574e-02 2.177314211209999961e-01 9.080333333333333812e+00
1.807081807081806907e-02 2.190352020859999971e-01 9.256000000000000227e+00
1.831501831501831587e-02 2.203389830509999980e-01 9.377666666666668149e+00
1.855921855921855920e-02 2.216427640159999990e-01 9.547666666666666302e+00
1.904761904761904934e-02 2.229465449799999943e-01 9.720999999999998309e+00
1.929181929181929267e-02 2.242503259449999953e-01 9.875666666666667481e+00
1.953601953601953600e-02 2.255541069099999962e-01 1.002666666666666551e+01
1.978021978021977934e-02 2.268578878749999972e-01 1.020666666666666700e+01
2.026862026862026947e-02 2.281616688399999981e-01 1.038333333333333464e+01
2.051282051282051280e-02 2.294654498039999935e-01 1.052999999999999936e+01
2.075702075702075614e-02 2.307692307689999944e-01 1.072000000000000064e+01
2.124542124542124627e-02 2.320730117339999954e-01 1.089333333333333265e+01
2.148962148962148960e-02 2.333767926989999963e-01 1.106000000000000050e+01
2.197802197802197627e-02 2.346805736639999973e-01 1.120333333333333314e+01
2.222222222222222307e-02 2.359843546279999926e-01 1.140000000000000036e+01
2.271062271062270974e-02 2.372881355929999936e-01 1.158666666666666600e+01
2.295482295482295654e-02 2.385919165579999945e-01 1.177333333333333165e+01
2.344322344322344320e-02 2.398956975229999955e-01 1.195000000000000107e+01
2.368742368742368654e-02 2.411994784879999965e-01 1.212333333333333307e+01
2.393162393162392987e-02 2.425032594519999918e-01 1.230333333333333279e+01
2.442002442002442000e-02 2.438070404169999927e-01 1.250333333333333208e+01
2.466422466422466334e-02 2.451108213819999937e-01 1.268333333333333179e+01
2.515262515262515347e-02 2.464146023469999947e-01 1.285333333333333350e+01
2.539682539682539680e-02 2.477183833119999956e-01 1.304333333333333123e+01
2.588522588522588347e-02 2.490221642759999909e-01 1.326333333333333364e+01
2.637362637362637360e-02 2.503259452409999919e-01 1.345666666666666877e+01
2.661782661782661694e-02 2.516297262059999928e-01 1.366666666666666607e+01
2.710622710622710707e-02 2.529335071709999938e-01 1.385666666666666735e+01
2.735042735042735040e-02 2.542372881359999948e-01 1.406333333333333435e+01
2.783882783882783707e-02 2.555410691000000178e-01 1.427333333333333165e+01
2.832722832722832720e-02 2.568448500650000188e-01 1.445666666666666877e+01
2.857142857142857054e-02 2.581486310300000198e-01 1.463666666666666849e+01
2.905982905982906067e-02 2.594524119950000207e-01 1.482999999999999829e+01
2.930402930402930400e-02 2.607561929600000217e-01 1.505666666666666664e+01
2.979242979242979067e-02 2.620599739239999892e-01 1.526333333333333364e+01
3.028083028083028080e-02 2.633637548889999902e-01 1.550333333333333208e+01
3.076923076923077094e-02 2.646675358539999912e-01 1.567999999999999972e+01
3.101343101343101427e-02 2.659713168189999921e-01 1.591999999999999993e+01
3.150183150183150094e-02 2.672750977839999931e-01 1.614000000000000057e+01
